objectid,filename,youtubeid,title,format,description,creator,recipient,date,date-is-approximate?,item_information,subject,location,latitude,longitude,related_publication,publisher-digital,source,findingaid,original-identifier,identifier,rights,rightsstatement,type,language,relation
UCPABPIB,UCPABPIB.jpg,,United Coloured People's Association: Black Power in Britain,image/jpeg,"The introductory pamphlet and manifesto of the United Coloured People's Association (UCPA) entitled 'Black Power in Britain: A Special Statement', confiscated by the Metropolitan Police and subsequently held within the National Archives: MEPO 2/11409",United Coloured People's Association,,1968,yes,single page;flyers,Black Power,"London, UK",51.4802,0.2799,,"The National Archives, Discovery https://discovery.nationalarchives.gov.uk/details/r/C10888372","        
Benedict Obi EGBUNA, Peter MARTIN and Gideon Turagalevu DOLO: charged with circulating writings at Speakers' Corner, Hyde Park, threatening to kill and maim police officers, involvement of the above-named with 'Black Panther' Party, 1968-69, The National Archives, Kew, MEPO 2/11409",https://discovery.nationalarchives.gov.uk/details/r/C10888372,	MEPO 2/11409,UCPABPIB,Crown Copyright,https://www.nationalarchives.gov.uk/information-management/re-using-public-sector-information/uk-government-licensing-framework/crown-copyright/,Image;StillImage,eng,https://discovery.nationalarchives.gov.uk/details/r/C10888372
BPS1,BPS1.jpg,,Black Power Speaks Volume 1,image/jpeg,"The first issue of the United Coloured People's Association (UCPA) publication 'Black Power Speaks', confiscated by the Metropolitan Police and subsequently held within the National Archives: MEPO 2/1140",United Coloured People's Association,,1968,yes,single page;flyers,Black Power,"London, UK",51.4802,0.2799,,"The National Archives, Discovery https://discovery.nationalarchives.gov.uk/details/r/C10888372","Benedict Obi EGBUNA, Peter MARTIN and Gideon Turagalevu DOLO: charged with circulating writings at Speakers' Corner, Hyde Park, threatening to kill and maim police officers, involvement of the above-named with 'Black Panther' Party, 1968-69, The National Archives, Kew, MEPO 2/11409 ",https://discovery.nationalarchives.gov.uk/details/r/C10888372,	MEPO 2/11409,BPS1,Crown Copyright,https://www.nationalarchives.gov.uk/information-management/re-using-public-sector-information/uk-government-licensing-framework/crown-copyright/,Image;StillImage,eng,https://discovery.nationalarchives.gov.uk/details/r/C10888372
BPS2,BPS2.jpg,,Black Power Speaks Volume 2,image/jpeg,"The second issue of the United Coloured People's Association (UCPA) publication 'Black Power Speaks', confiscated by the Metropolitan Police and subsequently held within the National Archives: MEPO 2/11409",United Coloured People's Association,,1968,yes,single page;flyers,Black Power,"London, UK",51.4802,0.2799,,"The National Archives, Discovery https://discovery.nationalarchives.gov.uk/details/r/C10888372","Benedict Obi EGBUNA, Peter MARTIN and Gideon Turagalevu DOLO: charged with circulating writings at Speakers' Corner, Hyde Park, threatening to kill and maim police officers, involvement of the above-named with 'Black Panther' Party, 1968-69, The National Archives, Kew, MEPO 2/11409",https://discovery.nationalarchives.gov.uk/details/r/C10888372,	MEPO 2/11409,BPS2,Crown Copyright,https://www.nationalarchives.gov.uk/information-management/re-using-public-sector-information/uk-government-licensing-framework/crown-copyright/,Image;StillImage,eng,https://discovery.nationalarchives.gov.uk/details/r/C10888372
BPS3,BPS3.jpg,,Black Power Speaks Volume 3,image/jpeg,"The third issue of the United Coloured People's Association (UCPA) publication 'Black Power Speaks', confiscated by the Metropolitan Police and subsequently held within the National Archives: MEPO 2/11409",United Coloured People's Association,,1968,yes,single page;flyers,Black Power,"London, UK",51.4802,0.2799,,"The National Archives, Discovery https://discovery.nationalarchives.gov.uk/details/r/C10888372","Benedict Obi EGBUNA, Peter MARTIN and Gideon Turagalevu DOLO: charged with circulating writings at Speakers' Corner, Hyde Park, threatening to kill and maim police officers, involvement of the above-named with 'Black Panther' Party, 1968-69, The National Archives, Kew, MEPO 2/11409",https://discovery.nationalarchives.gov.uk/details/r/C10888372,        MEPO 2/11409,BPS3,Crown Copyright,https://www.nationalarchives.gov.uk/information-management/re-using-public-sector-information/uk-government-licensing-framework/crown-copyright/,Image;StillImage,eng,https://discovery.nationalarchives.gov.uk/details/r/C10888372
Grassroots001,Grassroots_O4_TS.jpg,,Grassroots Oval Four,image/jpeg,Double page spread from Grassroots on the Oval Four (left) and Tony Soares (right),Black Liberation Front,,1972,yes,multiple-page; newspaper,Black Power,"London, UK",51.4605,-0.114573,,"Black Cultural Archives, Catalogue https://collections.blackculturalarchives.org/repositories/2/resources/29","Black Cultural Archives: Black Liberation Front Publications, Black Cultural Archives, London",https://collections.blackculturalarchives.org/repositories/2/resources/29,NEW 1/1,Grassroots_O4_TS,Educational Use,https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://collections.blackculturalarchives.org/repositories/2/resources/29
GrassrootsSF,grassroots_storefront.JPG,,Grassroots Storefront,image/jpeg,"Headquarters of the Black Liberation Front (BLF) at  61 Golborne Road, London, W10, by 1986 this had moved to 71 Golborne Road. ",Black Liberation Front,,1974,yes,storefront,Black Power,"London, UK",51.5186,-0.2031,,Young Historians Project,Young Historians Project,https://www.younghistoriansproject.org/copy-of-blf-project-archive,,grassroots_storefront,Educational Use,https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://www.younghistoriansproject.org/copy-of-blf-project-archive
RAASPamphlet,raas_pamphlet.jpg,,Racial Adjustment Action Society Pamphlet,image/jpeg,"Front cover of the first pamphlet of the London-based early Black Power organisation, the Racial Adjustment Action Society (RAAS) pamphlet, established by Michael X (then Abdul Malilk) in 1965.",Racial Adjustment Action Society,,1970,yes,single page;flyers,Black Power,"London, UK",51.4802,0.2799,,"The National Archives, Discovery, https://discovery.nationalarchives.gov.uk/details/r/C6093561","        
The 'Black House', headquarters of the Racial Adjustment Awareness Society, at 95-101 Holloway Road, N7: damage caused by fire on 15 January 1970. Unsubstantiated allegations made by Malik, MA, alias Michael X, against the police and fire brigade. With plan and photographs. The Natinal Archives, Kew, MEPO 28/4",https://discovery.nationalarchives.gov.uk/details/r/C6093561,MEPO 28/4,raas_pamphlet,Crown Copyright,https://www.nationalarchives.gov.uk/information-management/re-using-public-sector-information/uk-government-licensing-framework/crown-copyright/,Image;StillImage,eng,https://discovery.nationalarchives.gov.uk/details/r/C6093561
GrassrootsMolotv,grassroots_molotov.jpg,,Grassroots: Organising Self-Defence Groups,image/jpeg,"A reprint from the American Black Panther Community Newspaper Vol. 4, No. 2 entitled 'Organising Self-Defence Groups. The second half of the page includes a recipe for making a petrol bomb, or Molotov Cocktail. As a result, one of the founding members of the Black Liberation Front, Tony Soares, faced serious charges in court.",Black Liberation Front,,1971,yes,single page;newspaper,Black Power,"London, UK",51.5681,0.1095,,"George Padmore Institute Catalogue, https://catalogue.georgepadmoreinstitute.org/records/NEW/9","George Padmore Institute, 'Grassroots' NEW/9",https://catalogue.georgepadmoreinstitute.org/records/NEW/9,NEW/9,grassroots_molotov,Educational Use,https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://catalogue.georgepadmoreinstitute.org/records/NEW/9
Grassroots14Front,grassroots1_4_frontpage.jpg,,"Grassroots: Volume 1, Number 4",image/jpeg,"The frontpage of Volume 1, Number 4 of Black Liberation Front (BLF) publication Grassroots ",Black Liberation Front,,1971,yes,single page;newspaper,Black Power,"London, UK",51.5681,0.1095,,"George Padmore Institute Catalogue, https://catalogue.georgepadmoreinstitute.org/records/NEW/9","George Padmore Institute, 'Grassroots' NEW/9",https://catalogue.georgepadmoreinstitute.org/records/NEW/9,NEW/9,grassroots1_4_frontpage,Educational Use,https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://catalogue.georgepadmoreinstitute.org/records/NEW/9
GrassrootsCRE,grassroots1_4_p2.jpg,,Grassroots: Community Relations Expert,image/jpeg,"Page 2 of Volume 1, Number 4 of Grassroots featuring a story about an arrest of Black Power Activists in Sheffield among others, including details about the upcoming trial of the Mangrove 9. At the bottom is a cartoon captioned 'Your Community Relations Expert 1971', featuring an anotated caricature of a British police officer. Annotations include 'radio for summoning help when attacked by children', 'container for National Front membership card', and 'scientific instrument for giving directions to immigrants', with reference to the officer's truncheon.",Black Liberation Front,,1971,yes,single page;newspaper,Black Power,"London, UK",51.5681,0.1095,,"George Padmore Institute Catalogue, https://catalogue.georgepadmoreinstitute.org/records/NEW/9","George Padmore Institute, 'Grassroots' NEW/9",https://catalogue.georgepadmoreinstitute.org/records/NEW/9,NEW/9,grassroots1_4_p2,Educational Use,https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://catalogue.georgepadmoreinstitute.org/records/NEW/9
